Weight,Item
10,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked an Acorn <:Acorn:744756611792502795>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
10,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found an Ancient Screw <:Ancient_Screw:744752391680688188>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
9,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Chickaloo Tree Nut! <:Chickaloo_Tree_Nut:744756613448990764>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You caught a Fairy <:fairy:629098628769906688>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You harvested a Hylian Shroom <:Shroom_Hylian:744756624874537070>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found Insect Parts <:Insect_Parts:938273747897561098>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found an Ancient Gear <:Ancient_Gear:744752391546732647>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found an Ancient Shaft <:Ancient_Shaft:744752391756447846>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found an Ancient Spring <:Ancient_Spring:744752392322547792>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You gathered an Apple <:Apple_item:744756612085841980>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You collected a Bird Egg <:Bird_Egg:744756613621088256>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You collected a Bird Feather <:bird_feather:938297693766311959>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You caught a Bladed Rhino Beetle <:Rhino_Beetle_Bladed:744755645965664306>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
