Roll,Item
30,"You encountered a Ice-breath Lizalfos! This foe looks pretty dangerous...
/tableroll icebreathlizalfos to continue"
30,"You encountered a Black Moblin! This foe looks pretty dangerous...
/tableroll blackmoblin to continue"
18,"You encountered a Moblin!
/tableroll moblin to continue"
2,"You encountered a Blue Bokoblin!
/tableroll bokoblin to continue"
2,"You encountered a Bokoblin!
/tableroll bokoblin to continue"
2,"You encountered a Ice Chuchu (Large)!
/tableroll chuchularge to continue"
2,"You encountered a Chuchu (Large)!
/tableroll chuchularge to continue"
2,"You encountered a Ice Chuchu (Medium)!
/tableroll chuchumedium to continue"
2,"You encountered a Chuchu (Medium)!
/tableroll chuchumedium to continue"
2,"You encountered a Ice Chuchu (Small)!
/tableroll chuchusmall to continue"
2,"You encountered a Chuchu (Small)!
/tableroll chuchusmall to continue"
2,"You encountered a Ice Keese!
/tableroll keese to continue"
2,"You encountered a Keese!
/tableroll keese to continue"
2,"You encountered a Water Octorok!
/tableroll wateroctorok to continue"
