Roll,Item
25,You do not encounter any monsters.
6,"You encountered a Blue Bokoblin!
/tableroll bokoblin to continue"
6,"You encountered a Bokoblin!
/tableroll bokoblin to continue"
6,"You encountered a Ice Chuchu (Large)!
/tableroll chuchularge to continue"
6,"You encountered a Chuchu (Large)!
/tableroll chuchularge to continue"
6,"You encountered a Ice Chuchu (Medium)!
/tableroll chuchumedium to continue"
6,"You encountered a Chuchu (Medium)!
/tableroll chuchumedium to continue"
6,"You encountered a Ice Chuchu (Small)!
/tableroll chuchusmall to continue"
6,"You encountered a Chuchu (Small)!
/tableroll chuchusmall to continue"
6,"You encountered a Ice Keese!
/tableroll keese to continue"
5,"You encountered a Keese!
/tableroll keese to continue"
5,"You encountered a Water Octorok!
/tableroll wateroctorok to continue"
5,"You encountered a Moblin!
/tableroll moblin to continue"
5,"You encountered a Ice-breath Lizalfos! This foe looks pretty dangerous...
/tableroll icebreathlizalfos to continue"
1,"You encountered a Black Moblin! This foe looks pretty dangerous...
/tableroll blackmoblin to continue"
