Roll,Item
30,"You encountered a Fire-breath Lizalfos! This foe looks pretty dangerous...
/tableroll firebreathlizalfos to continue"
30,"You encountered a Black Moblin! This foe looks pretty dangerous...
/tableroll blackmoblin to continue"
18,"You encountered a Moblin!
/tableroll moblin to continue"
2,"You encountered a Blue Bokoblin!
/tableroll bokoblin to continue"
2,"You encountered a Bokoblin!
/tableroll bokoblin to continue"
2,"You encountered a Fire Chuchu (Large)!
/tableroll chuchularge to continue"
2,"You encountered a Chuchu (Large)!
/tableroll chuchularge to continue"
2,"You encountered a Fire Chuchu (Medium)!
/tableroll chuchumedium to continue"
2,"You encountered a Chuchu (Medium)!
/tableroll chuchumedium to continue"
2,"You encountered a Fire Chuchu (Small)!
/tableroll chuchusmall to continue"
2,"You encountered a Chuchu (Small)!
/tableroll chuchusmall to continue"
2,"You encountered a Fire Keese!
/tableroll keese to continue"
2,"You encountered a Keese!
/tableroll keese to continue"
2,"You encountered a Rock Octorok!
/tableroll rockoctorok to continue"
