Roll,Item
25,You do not encounter any monsters.
6,"You encountered a Blue Bokoblin!
/tableroll bokoblin to continue"
6,"You encountered a Bokoblin!
/tableroll bokoblin to continue"
6,"You encountered a Fire Chuchu (Large)!
/tableroll chuchularge to continue"
6,"You encountered a Chuchu (Large)!
/tableroll chuchularge to continue"
6,"You encountered a Fire Chuchu (Medium)!
/tableroll chuchumedium to continue"
6,"You encountered a Chuchu (Medium)!
/tableroll chuchumedium to continue"
6,"You encountered a Fire Chuchu (Small)!
/tableroll chuchusmall to continue"
6,"You encountered a Chuchu (Small)!
/tableroll chuchusmall to continue"
6,"You encountered a Fire Keese!
/tableroll keese to continue"
6,"You encountered a Keese!
/tableroll keese to continue"
6,"You encountered a Rock Octorok!
/tableroll rockoctorok to continue"
5,"You encountered a Moblin!
/tableroll moblin to continue"
3,"You encountered a Fire-breath Lizalfos! This foe looks pretty dangerous...
/tableroll firebreathlizalfos to continue"
1,"You encountered a Black Moblin! This foe looks pretty dangerous...
/tableroll blackmoblin to continue"
