Roll,Item
8,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked an Acorn <:Acorn:744756611792502795>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Chickaloo Tree Nut! <:Chickaloo_Tree_Nut:744756613448990764>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You caught a Fairy <:fairy:629098628769906688>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You harvested a Hylian Shroom <:Shroom_Hylian:744756624874537070>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You gathered an Apple <:Apple_item:744756612085841980>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked an Armoranth! <:Armoranth:744756613650448455>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Cane Sugar! <:Cane_Sugar_Icon:744756613684134018>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You collected a Courser Bee Honey <:Courser_Bee_Honey:744756613960695899>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
1,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You harvested an Ironshroom <:Shroom_Iron:744756624765222993>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You collected a Korok Leaf <:Korok_Leaf:938167742203314227>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You harvested a Silent Shroom <:Shroom_Silent:744756623330770985>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You harvested a Sunshroom <:Shroom_Sun:744756625050697888>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You collected a Wood <:Item_Wood:744752612339089479>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You collected a Tree Branch <:Tree_Branch:938167623919747122>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You collected a Cotton <:Cotton:938273747641700383>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
