Roll,Item
17,"You encountered a Golden Bokoblin! This foe looks pretty dangerous...
/tableroll goldenbokoblin to continue"
17,"You encountered a Silver Lizalfos! This foe looks pretty dangerous...
/tableroll silverlizalfos to continue"
13,"You encountered a Silver Bokoblin! This foe looks pretty dangerous...
/tableroll silverbokoblin to continue"
13,"You encountered a Black Moblin! This foe looks pretty dangerous...
/tableroll blackmoblin to continue"
9,"You encountered a Black Bokoblin!
/tableroll blackbokoblin to continue"
9,"You encountered a Blue Moblin!
/tableroll bluemoblin to continue"
9,"You encountered a Moblin!
/tableroll moblin to continue"
2,"You encountered a Blue Bokoblin!
/tableroll bokoblin to continue"
1,"You encountered a Bokoblin!
/tableroll bokoblin to continue"
1,"You encountered a Electric Chuchu (Medium)!
/tableroll chuchumedium to continue"
1,"You encountered a Chuchu (Medium)!
/tableroll chuchumedium to continue"
1,"You encountered a Electric Chuchu (Small)!
/tableroll chuchusmall to continue"
1,"You encountered a Chuchu (Small)!
/tableroll chuchusmall to continue"
1,"You encountered a Electric Keese!
/tableroll keese to continue"
1,"You encountered a Keese!
/tableroll keese to continue"
1,"You encountered a Lizalfos!
/tableroll lizalfos to continue"
1,"You encountered a Stalizalfos!
/tableroll stals to continue"
1,"You encountered a Stalkoblin!
/tableroll stals to continue"
1,"You encountered a Stalmoblin!
/tableroll stals to continue"
