Roll,Item
25,You do not encounter any monsters.
8,"You encountered a Blue Bokoblin!
/tableroll bokoblin to continue"
7,"You encountered a Bokoblin!
/tableroll bokoblin to continue"
7,"You encountered a Electric Chuchu (Small)!
/tableroll chuchusmall to continue"
7,"You encountered a Chuchu (Small)!
/tableroll chuchusmall to continue"
7,"You encountered a Electric Keese!
/tableroll keese to continue"
7,"You encountered a Keese!
/tableroll keese to continue"
7,"You encountered a Forest Octorok!
/tableroll forestoctorok to continue"
6,"You encountered a Blue Lizalfos!
/tableroll bluelizalfos to continue"
5,"You encountered a Blue Moblin!
/tableroll bluemoblin to continue"
5,"You encountered a Moblin!
/tableroll moblin to continue"
4,"You encountered a Black Lizalfos! This foe looks pretty dangerous...
/tableroll blacklizalfos to continue"
1,"You encountered a Electric Lizalfos! This foe looks pretty dangerous...
/tableroll electriclizalfos to continue"
1,"You encountered a Golden Bokoblin! This foe looks pretty dangerous...
/tableroll goldenbokoblin to continue"
1,"You encountered a Silver Lizalfos! This foe looks pretty dangerous...
/tableroll silverlizalfos to continue"
1,"You encountered a Silver Moblin! This foe looks pretty dangerous...
/tableroll silvermoblin to continue"
1,"You encountered a Electric Wizzrobe! This foe looks pretty dangerous...
/tableroll electricwizzrobe to continue"
