Roll,Item
10,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found an Ancient Screw <:Ancient_Screw:744752391680688188>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
9,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found an Ancient Gear <:Ancient_Gear:744752391546732647>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
9,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found an Ancient Shaft <:Ancient_Shaft:744752391756447846>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
9,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found an Ancient Spring <:Ancient_Spring:744752392322547792>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
9,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated a Rock Salt <:Rock_Salt:744752642349203489>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You found an Ancient Core <:Ancient_Core:744752390552420413>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated a Luminous Stone <:Gem_Luminous_Stone:938243012545363978>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated an Amethyst <:Gem_Amethyst:938242921210196018>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated a Fairy Dust <:Fairy_Dust:938273747419398255>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated a Flint <:Flint:744755087196291165>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
7,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated a Silver Dust <:silver_dust:935601947816370226>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated a Diamond <:Gem_Diamond:744752572585345054>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated a Sapphire <:Gem_Sapphire:744752573680058449>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
