Roll,Item
37,"You encountered a Electric Wizzrobe! This foe looks pretty dangerous...
/tableroll electricwizzrobe to continue"
28,"You encountered a Black Lizalfos! This foe looks pretty dangerous...
/tableroll blacklizalfos to continue"
19,"You encountered a Moblin!
/tableroll moblin to continue"
2,"You encountered a Blue Bokoblin!
/tableroll bokoblin to continue"
2,"You encountered a Bokoblin!
/tableroll bokoblin to continue"
2,"You encountered a Electric Chuchu (Large)!
/tableroll chuchularge to continue"
2,"You encountered a Electric Chuchu (Medium)!
/tableroll chuchumedium to continue"
2,"You encountered a Electric Chuchu (Small)!
/tableroll chuchusmall to continue"
2,"You encountered a Chuchu (Small)!
/tableroll chuchusmall to continue"
2,"You encountered a Electric Keese!
/tableroll keese to continue"
2,"You encountered a Keese!
/tableroll keese to continue"
2,"You encountered a Forest Octorok!
/tableroll forestoctorok to continue"
