Roll,Item
2,"You encountered a Blue Bokoblin!
/tableroll bokoblin to continue"
2,"You encountered a Bokoblin!
/tableroll bokoblin to continue"
2,"You encountered a Ice Chuchu (Large)!
/tableroll chuchularge to continue"
2,"You encountered a Ice Chuchu (Medium)!
/tableroll chuchumedium to continue"
2,"You encountered a Ice Chuchu (Small)!
/tableroll chuchusmall to continue"
2,"You encountered a Chuchu (Small)!
/tableroll chuchusmall to continue"
2,"You encountered a Ice Keese!
/tableroll keese to continue"
2,"You encountered a Keese!
/tableroll keese to continue"
2,"You encountered a Water Octorok!
/tableroll wateroctorok to continue"
2,"You encountered a Frost Pebblit!
/tableroll frostpebblit to continue"
18,"You encountered a Moblin!
/tableroll moblin to continue"
27,"You encountered a Black Lizalfos! This foe looks pretty dangerous...
/tableroll blacklizalfos to continue"
35,"You encountered a Ice Wizzrobe! This foe looks pretty dangerous...
/tableroll icewizzrobe to continue"
