Roll,Item
35,"You encountered a Fire Wizzrobe! This foe looks pretty dangerous...
/tableroll firewizzrobe to continue"
27,"You encountered a Black Lizalfos! This foe looks pretty dangerous...
/tableroll blacklizalfos to continue"
18,"You encountered a Moblin!
/tableroll moblin to continue"
2,"You encountered a Blue Bokoblin!
/tableroll bokoblin to continue"
2,"You encountered a Bokoblin!
/tableroll bokoblin to continue"
2,"You encountered a Fire Chuchu (Large)!
/tableroll chuchularge to continue"
2,"You encountered a Fire Chuchu (Medium)!
/tableroll chuchumedium to continue"
2,"You encountered a Fire Chuchu (Small)!
/tableroll chuchusmall to continue"
2,"You encountered a Chuchu (Small)!
/tableroll chuchusmall to continue"
2,"You encountered a Fire Keese!
/tableroll keese to continue"
2,"You encountered a Keese!
/tableroll keese to continue"
2,"You encountered a Rock Octorok!
/tableroll rockoctorok to continue"
2,"You encountered a Igneo Pebblit!
/tableroll igneopebblit to continue"
