roll,item
25,Everything seems to be going wrong... you lose the fight...You lose all hearts.
25,The monster attacks! You lose 2 hearts!
25,"The monster attacks! You lose 1 heart! BUT! You fight back!
/tableroll blacklizalfos to continue"
8,"It was a struggle, but you won!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Lizalfos Horn <:Lizalfos_Horn:744755435055349811>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"It was a struggle, but you won!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Lizalfos Tail <:Lizalfos_Tail:744755438465056799>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
8,"It was a struggle, but you won!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Lizalfos Talon <:Lizalfos_Talon:744755436934135879>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
1,"★Damn, what a win!!★ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You collected a Enhanced Lizal Spear <:Enhanced_Lizal_Spear:938162361276178442>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
1,"★Damn, what a win!!★ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You collected a Lizal Forked Boomerang <:Lizal_Forked_Boomerang:938167621172494386>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
1,"★Damn, what a win!!★ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You collected a Reinforced Lizal Shield <:Reinforced_Lizal_Shield:935378243534602321>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
1,"★Damn, what a win!!★ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You collected a Strengthened Lizal Bow <:Strengthened_Lizal_Bow:938196688529670156>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
