roll,item
15,Everything seems to be going wrong... you lose the fight...You lose all hearts.
15,The monster attacks! You lose 2 hearts!
15,"The monster attacks! You lose 2 heart! BUT! You fight back!
/tableroll silvermoblin to continue"
15,"The monster attacks! You lose 1 heart! BUT! You fight back!
/tableroll silvermoblin to continue"
15,"The monster attacks! But you dodge!
/tableroll silvermoblin to continue"
8,"It was a struggle, but you won!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Moblin Fang <:Moblin_Fang:744755437529989131>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"It was a struggle, but you won!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Moblin Horn <:Moblin_Horn:744755437861077062>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"It was a struggle, but you won!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You got a Moblin Guts <:Moblin_Guts:744755438498742322>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
3,"It was a struggle, but you won!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You excavated a Silver Dust <:silver_dust:935601947816370226>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
3,"It was a struggle, but you won!ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You collected a Silver Thread <:Silver_Thread:938273747545231360>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
1,"★Damn, what a win!!★ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You collected a Dragonbone Moblin Spear <:Dragonbone_Moblin_Spear:938162363759222825>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
