Roll,Item
13,"You encountered a Golden Bokoblin! This foe looks pretty dangerous...
/tableroll goldenbokoblin to continue"
13,"You encountered a Silver Lizalfos! This foe looks pretty dangerous...
/tableroll silverlizalfos to continue"
13,"You encountered a Silver Moblin! This foe looks pretty dangerous...
/tableroll silvermoblin to continue"
13,"You encountered a Fire Wizzrobe! This foe looks pretty dangerous...
/tableroll firewizzrobe to continue"
10,"You encountered a Silver Bokoblin! This foe looks pretty dangerous...
/tableroll silverbokoblin to continue"
10,"You encountered a Black Lizalfos! This foe looks pretty dangerous...
/tableroll blacklizalfos to continue"
7,"You encountered a Black Bokoblin!
/tableroll blackbokoblin to continue"
6,"You encountered a Blue Lizalfos!
/tableroll bluelizalfos to continue"
6,"You encountered a Moblin!
/tableroll moblin to continue"
1,"You encountered a Blue Bokoblin!
/tableroll bokoblin to continue"
1,"You encountered a Bokoblin!
/tableroll bokoblin to continue"
1,"You encountered a Fire Chuchu (Small)!
/tableroll chuchusmall to continue"
1,"You encountered a Chuchu (Small)!
/tableroll chuchusmall to continue"
1,"You encountered a Fire Keese!
/tableroll keese to continue"
1,"You encountered a Keese!
/tableroll keese to continue"
1,"You encountered a Lizalfos!
/tableroll lizalfos to continue"
1,"You encountered a Rock Octorok!
/tableroll rockoctorok to continue"
1,"You encountered a Stone Pebblit!
/tableroll stonepebblit to continue"
